CompoundCityId,cityId,stateId
105397-24,105397,24
105508-21,105508,21
104470-58,104470,58
104925-28,104925,28
105153-20,105153,20
102702-28,102702,28
103178-58,103178,58
102072-30,102072,30
102208-48,102208,48
100708-7,100708,7
100869-58,100869,58
100000-44,100000,44
100506-34,100506,34
100540-19,100540,19
132312-24,132312,24
131037-6,131037,6
131702-45,131702,45
127896-7,127896,7
127527-27,127527,27
127735-46,127735,46
125727-7,125727,7
124718-6,124718,6
124783-27,124783,27
124944-19,124944,19
124379-30,124379,30
124403-18,124403,18
122653-17,122653,17
123354-17,123354,17
122337-19,122337,19
120599-44,120599,44
120422-28,120422,28
119179-22,119179,22
119264-35,119264,35
119507-19,119507,19
118211-55,118211,55
118301-49,118301,49
118833-28,118833,28
117627-19,117627,19
115718-23,115718,23
115773-30,115773,30
114984-14,114984,14
114454-29,114454,29
112012-35,112012,35
113034-36,113034,36
113147-44,113147,44
111683-34,111683,34
110013-9,110013,9
111259-11,111259,11
108580-46,108580,46
107068-44,107068,44
107439-21,107439,21
107514-9,107514,9
105613-58,105613,58
106250-23,106250,23
106852-7,106852,7
104409-44,104409,44
104642-24,104642,24
104141-58,104141,58
104358-7,104358,7
103276-20,103276,20
103457-19,103457,19
103794-22,103794,22
102795-30,102795,30
102626-44,102626,44
102684-26,102684,26
100617-28,100617,28
132252-22,132252,22
132556-15,132556,15
130955-19,130955,19
131683-14,131683,14
128587-6,128587,6
128983-39,128983,39
128222-15,128222,15
128397-9,128397,9
127346-49,127346,49
127593-17,127593,17
126043-26,126043,26
126643-46,126643,46
125092-20,125092,20
121615-31,121615,31
120017-15,120017,15
121200-31,121200,31
121216-17,121216,17
121303-44,121303,44
119424-38,119424,38
119619-22,119619,22
118933-48,118933,48
119000-24,119000,24
119288-17,119288,17
117757-46,117757,46
117881-20,117881,20
116607-6,116607,6
115900-45,115900,45
114090-44,114090,44
113053-26,113053,26
113487-22,113487,22
112062-36,112062,36
111047-28,111047,28
110648-19,110648,19
110881-58,110881,58
110205-23,110205,23
107188-27,107188,27
106736-13,106736,13
