CompoundCityId,cityId,stateId,Entity,Shape
123672-9,123672,9,FOUND,NOT_FOUND
123791-64,123791,64,NOT_FOUND,FOUND
123835-45,123835,45,NOT_FOUND,NOT_FOUND
122282-9,122282,9,FOUND,FOUND
122322-9,122322,9,FOUND,FOUND
122357-31,122357,31,NOT_FOUND,NOT_FOUND
122539-22,122539,22,FOUND,NOT_FOUND
122588-20,122588,20,FOUND,NOT_FOUND
122797-23,122797,23,NOT_FOUND,NOT_FOUND
121299-28,121299,28,FOUND,NOT_FOUND
121568-52,121568,52,NOT_FOUND,NOT_FOUND
121684-52,121684,52,NOT_FOUND,NOT_FOUND
121721-60,121721,60,NOT_FOUND,FOUND
121960-58,121960,58,FOUND,NOT_FOUND
122215-32,122215,32,FOUND,FOUND
120552-29,120552,29,FOUND,NOT_FOUND
143684-26,143684,26,FOUND,FOUND
120923-19,120923,19,FOUND,FOUND
120982-60,120982,60,NOT_FOUND,NOT_FOUND
121215-29,121215,29,NOT_FOUND,NOT_FOUND
121229-48,121229,48,FOUND,FOUND
119289-21,119289,21,FOUND,NOT_FOUND
146746-26,146746,26,NOT_FOUND,NOT_FOUND
119695-20,119695,20,FOUND,NOT_FOUND
120479-46,120479,46,FOUND,FOUND
120481-31,120481,31,FOUND,FOUND
120487-9,120487,9,NOT_FOUND,NOT_FOUND
117955-44,117955,44,FOUND,FOUND
118006-63,118006,63,NOT_FOUND,FOUND
118071-30,118071,30,FOUND,NOT_FOUND
118140-49,118140,49,FOUND,FOUND
118398-35,118398,35,FOUND,NOT_FOUND
119040-34,119040,34,NOT_FOUND,NOT_FOUND
116451-49,116451,49,NOT_FOUND,NOT_FOUND
116734-5,116734,5,FOUND,FOUND
116823-5,116823,5,NOT_FOUND,NOT_FOUND
116846-39,116846,39,FOUND,FOUND
117769-34,117769,34,NOT_FOUND,NOT_FOUND
117783-22,117783,22,NOT_FOUND,NOT_FOUND
115862-30,115862,30,FOUND,NOT_FOUND
116046-19,116046,19,NOT_FOUND,NOT_FOUND
116187-35,116187,35,NOT_FOUND,NOT_FOUND
116255-44,116255,44,FOUND,FOUND
116322-40,116322,40,FOUND,NOT_FOUND
116404-49,116404,49,FOUND,FOUND
114360-31,114360,31,FOUND,NOT_FOUND
114733-64,114733,64,NOT_FOUND,FOUND
115144-55,115144,55,NOT_FOUND,NOT_FOUND
115330-49,115330,49,NOT_FOUND,NOT_FOUND
147197-46,147197,46,FOUND,FOUND
115816-9,115816,9,FOUND,NOT_FOUND
112486-55,112486,55,FOUND,FOUND
112602-45,112602,45,FOUND,NOT_FOUND
112841-17,112841,17,FOUND,NOT_FOUND
112882-6,112882,6,FOUND,NOT_FOUND
113786-9,113786,9,FOUND,FOUND
113895-19,113895,19,NOT_FOUND,NOT_FOUND
111734-64,111734,64,NOT_FOUND,FOUND
111954-24,111954,24,FOUND,FOUND
111966-17,111966,17,NOT_FOUND,NOT_FOUND
111971-24,111971,24,NOT_FOUND,NOT_FOUND
112075-34,112075,34,FOUND,NOT_FOUND
112242-34,112242,34,FOUND,NOT_FOUND
111372-11,111372,11,FOUND,FOUND
111439-38,111439,38,FOUND,FOUND
148416-52,148416,52,NOT_FOUND,NOT_FOUND
111538-52,111538,52,NOT_FOUND,NOT_FOUND
111662-29,111662,29,FOUND,NOT_FOUND
111720-34,111720,34,FOUND,NOT_FOUND
110967-24,110967,24,FOUND,NOT_FOUND
111005-35,111005,35,FOUND,NOT_FOUND
